Country (Code UN (M49)),Country (Name),Unit (Name),Unit,[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
036,Australia,Number (Thousand),Number (1000),10505.94,10711.94,10917.38,11131.61,11359.44,11592.68,11809.11,12027.26,12268.35,12595.03,12993.83,13300.31,13513.32,13713.39,13886.85,14038.07,14193.36,14355.81,14520.53,14706.32,14930.05,15168.44,15383.08,15579.48,15785.68,16012.3,16259.25,16525.9,16796.59,17048,17271.09,17462.5,17631.51,17805.5,18003,18211.85,18410.25,18601.67,18800.89,19017.96,19248.14,19475.84,19699,19925.06,20171.73,20467.03,20830.83,21247.87,21660.89,22019.17,22357.03,22729.27,23111.78,23469.58,23820.24,24195.7,24590.33,24979.23,25357.17
040,Austria,Number (Thousand),Number (1000),7085.44,7128.97,7174.87,7222.9,7269.89,7320.91,7375.63,7413.81,7439.32,7465.3,7498.54,7542.08,7584.02,7597.03,7576.93,7563.51,7566.36,7560.25,7547.48,7547.56,7566.32,7571.29,7559.11,7558.56,7562.11,7567.25,7572.38,7583.76,7619.39,7678.73,7755.64,7840.82,7905.28,7935.36,7947.3,7958.04,7967.09,7975.86,7991.38,8010.43,8039.63,8078.99,8120.1,8171.22,8227.03,8267.76,8294.72,8321.13,8342.94,8362.83,8391.2,8429.64,8479.54,8546.07,8642.42,8736.49,8797.5,8840.51,8879.94
031,Azerbaijan,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7643.34,7740.11,7821.88,7889.33,7949.1,8000.06,8041.1,8101.45,8190.34,8282.02,8372.13,8462.32,8556.16,8656.24,8763.35,8878.41,8999.7,9119.63,9237.2,9359.01,9485.58,9614.48,9741.88,9863.48,9976.25,10071.57,10152.52,10232.75
044,Bahamas,Number (Thousand),Number (1000),120.22,126.31,132.64,138.78,144.85,151.32,158.2,165.46,172.75,179.13,184.44,189.18,193.56,197.77,201.88,206.1,210.53,215.02,219.43,223.75,227.96,232.18,236.59,241.17,245.94,250.8,255.62,260.45,265.49,270.68,276.06,281.97,288.17,294,299.55,304.93,310.17,315.4,320.27,325.01,329.63,334,338.49,343.09,347.8,352.67,357.67,362.8,368.06,373.27,377.95,382.06,385.65,389.13,392.7,395.98,399.02,401.91,404.56
048,Bahrain,Number (Thousand),Number (1000),166.97,173.36,179.89,186.59,193.01,199.02,204.92,210.8,216.7,222.56,230.99,243.14,256.63,270.63,285.12,300.04,315.34,330.91,346.7,362.6,377.43,391.02,404.77,419.22,434.38,450.2,466.56,483.34,500.35,517.42,535.41,554.47,573.76,593.25,612.93,632.76,652.64,672.48,692.13,711.44,730.26,748.33,778.26,833.45,901.92,970.98,1040.53,1110.34,1179.45,1213.64,1212.08,1224.94,1261.67,1311.13,1362.14,1409.66,1456.83,1487.34,1494.19
050,Bangladesh,Number (Thousand),Number (1000),51882.77,53461.66,55094.12,56774.47,58500.16,60265.26,62104.49,63995.65,65866.91,67541.86,68376.2,69346.71,71144.82,72947.81,74700.35,76380.08,78137.79,80007.55,81908.15,83929.76,86154.84,88555.34,91045.48,93534.24,95959.1,98271.75,100490.26,102688.83,104893.67,107147.65,109242.84,111272.1,113418.76,115614.89,117793.34,119876.87,122039.23,124350.47,126754.82,129193.33,131670.48,134139.83,136503.21,138789.73,140912.59,142628.83,144135.93,145421.32,146706.81,148391.14,150211.01,152090.65,154030.14,155961.3,157830,159784.57,161793.96,163683.96,165516.22
052,Barbados,Number (Thousand),Number (1000),233.7,234.83,235.88,236.83,237.69,238.49,239.24,239.91,240.59,241.4,242.35,243.46,244.64,245.85,247.09,248.36,249.66,251.01,252.33,253.57,254.68,255.64,256.5,257.28,257.91,258.37,258.65,258.76,258.76,258.87,259.4,260.21,261,261.71,262.3,262.79,263.23,263.64,264.17,264.66,265.38,266.45,267.5,268.5,269.48,270.43,271.44,272.64,273.79,274.71,275.49,276.2,276.87,277.49,278.08,278.65,279.19,279.69,280.18
112,Belarus,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10475.91,10480.48,10475.4,10461.7,10436.46,10400.92,10357.47,10308.28,10256.48,10201.21,10135.39,10065.88,9999.71,9935.16,9874.7,9825.99,9787.83,9757.71,9731.43,9706.98,9693.75,9691.14,9693.74,9700.61,9708.11,9707.88,9695.57,9673.97
056,Belgium,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10264.34,10309.26,10355.57,10402.55,10456.16,10516.98,10582.98,10653.7,10726.72,10801.36,10877.95,10955.74,11031.14,11103.26,11176.72,11248.3,11316.84,11384.49,11448.6,11510.57
058,Belgium-Luxembourg,Number (Thousand),Number (1000),9485.06,9550.18,9611.23,9676.83,9741.88,9799.25,9850.79,9893.3,9930.38,9968.72,10008.37,10046.38,10077.17,10100.45,10117.1,10129.43,10144.64,10161.27,10177.07,10192.73,10208.07,10222.36,10231.97,10239.38,10247,10255.99,10270.75,10291.43,10314.12,10340.83,10373.47,10407.97,10440.44,10471.23,10502.83,10536.43,10573.28,10612.11,10653.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084,Belize,Number (Thousand),Number (1000),93.76,96.19,98.86,101.77,104.84,108.06,111.41,114.83,118.14,120.91,123.09,125.05,126.88,128.62,130.8,133.47,136.18,138.93,141.82,145.13,148.76,152.41,156.05,159.72,163.44,167.19,170.98,174.82,178.69,182.59,186.46,190.3,194.18,198.42,203.56,209.84,217.12,224.91,232.73,240.41,248.1,255.99,264,272.13,280.38,288.73,297.17,305.67,314.17,322.11,329.54,337.06,344.69,352.33,359.87,367.31,374.69,382.07,389.1
